,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
180,mammalian-sim,QR,0,22,0,10.68,0.0828,37,50,2X,true,0,0.18235294117647066,true
181,mammalian-sim,QR,1,20,0,11.18,0.083912,37,50,2X,true,0,0.18352941176470608,true
182,mammalian-sim,QR,2,4,0,9.54,0.082828,37,50,2X,true,0,0.18205882352941175,true
183,mammalian-sim,QR,3,20,0,11.12,0.08668,37,50,2X,true,0,0.18205882352941175,true
184,mammalian-sim,QR,4,18,0,11.49,0.083132,37,50,2X,true,0,0.18617647058823533,true
185,mammalian-sim,QR,5,16,0,11.06,0.082792,37,50,2X,true,0,0.17897058823529413,true
186,mammalian-sim,QR,6,20,0,10.94,0.086256,37,50,2X,true,0,0.18838235294117656,true
187,mammalian-sim,QR,7,20,0,11.06,0.084296,37,50,2X,true,0,0.1832352941176471,true
188,mammalian-sim,QR,8,20,0,10.75,0.084844,37,50,2X,true,0,0.18132352941176483,true
189,mammalian-sim,QR,9,16,0,10.45,0.084272,37,50,2X,true,0,0.18779411764705878,true
190,mammalian-sim,QR,10,20,0,11.06,0.083476,37,50,2X,true,0,0.17941176470588244,true
191,mammalian-sim,QR,11,18,0,11.0,0.083044,37,50,2X,true,0,0.18382352941176477,true
192,mammalian-sim,QR,12,14,0,10.79,0.082712,37,50,2X,true,0,0.18044117647058827,true
193,mammalian-sim,QR,13,20,0,11.04,0.083964,37,50,2X,true,0,0.17617647058823535,true
194,mammalian-sim,QR,14,18,0,11.65,0.084512,37,50,2X,true,0,0.18000000000000005,true
195,mammalian-sim,QR,15,4,0,10.7,0.082592,37,50,2X,true,0,0.18117647058823533,true
196,mammalian-sim,QR,16,20,0,28.34,0.089064,37,50,2X,true,0,0.18455882352941178,true
197,mammalian-sim,QR,17,18,0,29.99,0.083892,37,50,2X,true,0,0.17897058823529421,true
198,mammalian-sim,QR,18,20,0,29.8,0.086084,37,50,2X,true,0,0.1779411764705883,true
199,mammalian-sim,QR,19,18,0,30.39,0.083016,37,50,2X,true,0,0.18911764705882358,true
200,mammalian-sim,QR*,0,16,0,10.75,0.084472,37,50,2X,true,0,0.18235294117647066,true
201,mammalian-sim,QR*,1,8,0,11.44,0.086236,37,50,2X,true,0,0.18352941176470608,true
202,mammalian-sim,QR*,2,10,0,10.13,0.082916,37,50,2X,true,0,0.18205882352941175,true
203,mammalian-sim,QR*,3,6,0,10.38,0.085888,37,50,2X,true,0,0.18205882352941175,true
204,mammalian-sim,QR*,4,8,0,10.75,0.08314,37,50,2X,true,0,0.18617647058823533,true
205,mammalian-sim,QR*,5,12,0,10.64,0.082516,37,50,2X,true,0,0.17897058823529413,true
206,mammalian-sim,QR*,6,8,0,10.63,0.084244,37,50,2X,true,0,0.18838235294117656,true
207,mammalian-sim,QR*,7,10,0,10.82,0.084384,37,50,2X,true,0,0.1832352941176471,true
208,mammalian-sim,QR*,8,10,0,10.7,0.08312,37,50,2X,true,0,0.18132352941176483,true
209,mammalian-sim,QR*,9,14,0,10.58,0.082652,37,50,2X,true,0,0.18779411764705878,true
210,mammalian-sim,QR*,10,16,0,10.53,0.085088,37,50,2X,true,0,0.17941176470588244,true
211,mammalian-sim,QR*,11,14,0,10.61,0.083628,37,50,2X,true,0,0.18382352941176477,true
212,mammalian-sim,QR*,12,6,0,10.55,0.082388,37,50,2X,true,0,0.18044117647058827,true
213,mammalian-sim,QR*,13,10,0,11.1,0.082976,37,50,2X,true,0,0.17617647058823535,true
214,mammalian-sim,QR*,14,6,0,10.88,0.083772,37,50,2X,true,0,0.18000000000000005,true
215,mammalian-sim,QR*,15,12,0,27.7,0.084384,37,50,2X,true,0,0.18117647058823533,true
216,mammalian-sim,QR*,16,16,0,28.51,0.083108,37,50,2X,true,0,0.18455882352941178,true
217,mammalian-sim,QR*,17,12,0,28.29,0.085904,37,50,2X,true,0,0.17897058823529421,true
218,mammalian-sim,QR*,18,10,0,28.96,0.084552,37,50,2X,true,0,0.1779411764705883,true
219,mammalian-sim,QR*,19,18,0,29.7,0.083184,37,50,2X,true,0,0.18911764705882358,true
220,mammalian-sim,optimal,0,2,0,1.14,0.03534,37,50,2X,true,0,0.18235294117647066,true
221,mammalian-sim,optimal,1,2,0,1.2,0.035984,37,50,2X,true,0,0.18352941176470608,true
222,mammalian-sim,optimal,2,2,0,1.11,0.036808,37,50,2X,true,0,0.18205882352941175,true
223,mammalian-sim,optimal,3,0,1,1.11,0.035336,37,50,2X,true,0,0.18205882352941175,true
