,dataset,method,qrcoef,abratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
135,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,35,0,1,54.52,0.220616,101,1000,1600,,,est
136,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,36,0,1,48.37,0.2212,101,1000,1600,,,est
137,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,37,10,0,52.85,0.219248,101,1000,1600,,,est
138,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,38,0,1,36.2,0.224192,101,1000,1600,,,est
139,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,39,0,1,46.73,0.219756,101,1000,1600,,,est
140,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,40,0,1,82.17,0.219936,101,1000,1600,,,est
141,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,41,0,1,71.99,0.219012,101,1000,1600,,,est
142,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,42,0,1,52.16,0.219108,101,1000,1600,,,est
143,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,43,0,1,45.67,0.225328,101,1000,1600,,,est
144,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,44,0,1,48.07,0.220556,101,1000,1600,,,est
145,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,45,0,1,79.81,0.222064,101,1000,1600,,,est
146,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,46,0,1,47.06,0.21946,101,1000,1600,,,est
147,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,47,0,1,59.22,0.223112,101,1000,1600,,,est
148,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,48,6,0,58.92,0.221468,101,1000,1600,,,est
149,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,49,0,1,49.26,0.219832,101,1000,1600,,,est
150,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,0,2,0,82.39,0.219656,101,1000,1600,,,est
151,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,1,0,1,83.23,0.218028,101,1000,1600,,,est
152,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,2,0,1,73.64,0.219768,101,1000,1600,,,est
153,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,3,0,1,78.72,0.219828,101,1000,1600,,,est
154,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,4,0,1,72.3,0.21968,101,1000,1600,,,est
155,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,5,0,1,72.98,0.221492,101,1000,1600,,,est
156,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,6,0,1,83.41,0.224236,101,1000,1600,,,est
157,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,7,0,1,74.13,0.2195,101,1000,1600,,,est
158,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,8,0,1,87.94,0.218868,101,1000,1600,,,est
159,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,9,0,1,83.16,0.221492,101,1000,1600,,,est
160,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,10,0,1,50.27,0.221324,101,1000,1600,,,est
161,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,11,0,1,51.19,0.21852,101,1000,1600,,,est
162,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,12,0,1,53.63,0.21916,101,1000,1600,,,est
163,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,13,0,1,46.88,0.2185,101,1000,1600,,,est
164,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,14,0,1,43.79,0.219896,101,1000,1600,,,est
165,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,15,2,0,56.79,0.219568,101,1000,1600,,,est
166,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,16,0,1,52.99,0.21926,101,1000,1600,,,est
167,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,17,0,1,45.14,0.220528,101,1000,1600,,,est
168,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,18,0,1,51.04,0.221312,101,1000,1600,,,est
169,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,19,0,1,53.57,0.221328,101,1000,1600,,,est
170,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,20,4,0,56.69,0.22128,101,1000,1600,,,est
171,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,21,0,1,55.25,0.219848,101,1000,1600,,,est
172,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,22,0,1,42.73,0.220936,101,1000,1600,,,est
173,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,23,0,1,46.73,0.219648,101,1000,1600,,,est
174,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,24,0,1,43.25,0.218272,101,1000,1600,,,est
175,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,25,0,1,50.45,0.219416,101,1000,1600,,,est
176,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,26,0,1,52.72,0.22274,101,1000,1600,,,est
177,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,27,0,1,54.06,0.218288,101,1000,1600,,,est
178,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,28,0,1,51.98,0.219936,101,1000,1600,,,est
179,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,29,0,1,53.46,0.21924,101,1000,1600,,,est
180,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,30,0,1,54.9,0.220948,101,1000,1600,,,est
181,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,31,2,0,53.7,0.223164,101,1000,1600,,,est
182,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,32,2,0,52.68,0.219592,101,1000,1600,,,est
183,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,33,0,1,56.54,0.219324,101,1000,1600,,,est
184,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,34,4,0,56.42,0.218368,101,1000,1600,,,est
185,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,35,0,1,55.26,0.21928,101,1000,1600,,,est
186,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,36,0,1,47.73,0.218508,101,1000,1600,,,est
187,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,37,0,1,52.39,0.224584,101,1000,1600,,,est
188,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,38,0,1,36.15,0.21952,101,1000,1600,,,est
189,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,39,0,1,48.07,0.219448,101,1000,1600,,,est
190,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,40,0,1,81.71000000000001,0.221312,101,1000,1600,,,est
191,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,41,0,1,68.63,0.21946,101,1000,1600,,,est
192,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,42,0,1,55.92,0.219944,101,1000,1600,,,est
193,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,43,0,1,45.52,0.219008,101,1000,1600,,,est
194,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,44,0,1,52.47,0.219532,101,1000,1600,,,est
